Transaction Date,Description,Category,Amount
11/25/2018,TRADER JOE'S #078  QPS,grocery,-28.21
11/25/2018,CAFE,restaurants,-13
11/23/2018,CHEVRON 0207716,gas,-32.24
11/22/2018,EXPRESS #1751,shopping,-47.35
11/22/2018,GAP OUTLET US 7755,shopping,-21.8
11/17/2018,SAFEWAY,grocery,-10.98
11/17/2018,Cheesecake Factory,restaurants,-75
11/17/2018,TRADER JOE'S #078  QPS,grocery,-54.68
11/16/2018,SAFEWAY,grocery,-10.73
11/14/2018,Payment Received,CREDIT,1036.86
11/10/2018,Michelin restaurant,restaurants,-150.66
11/08/2018,SAFEWAY,grocery,-10.55
11/06/2018,COMCAST,misc,-44.99
11/04/2018,Travel Credit,CREDIT,125
11/03/2018,THE PROLIFIC OVEN,restaurants,-11.91
11/03/2018,SAFEWAY #2887,grocery,-63.74
10/29/2018,SAFEWAY,grocery,-2.49
10/28/2018,Payment Received,CREDIT,875.1
10/27/2018,TRADER JOE'S #078  QPS,grocery,-3.49
10/27/2018,TRADER JOE'S #078  QPS,grocery,-64.7
10/27/2018,SQ *SQ *PHILZ COFFEE,restaurants,-8.55
10/27/2018,Thai restaurant,restaurants,-45
10/26/2018,BREWERY,restaurants,-77
10/21/2018,STARBUCKS,restaurants,-25
10/20/2018,5 star restaurant,restaurants,-420
10/19/2018,SAFEWAY,grocery,-12.88
10/19/2018,BAR,restaurants,-30
10/16/2018,ALASKA A  0272187864380,travel,159.2
10/14/2018,Payment Received,CREDIT,1288.01
10/14/2018,FILLMORE restaurant,restaurants,-85
10/14/2018,SAFEWAY,grocery,-19.01
10/14/2018,ALASKA A  0272187864380,travel,-159.2
10/14/2018,ALASKA A  0272187864792,travel,-159.2
10/13/2018,TACOS,restaurants,-13.71
10/13/2018,SAFEWAY,grocery,-3.16
10/13/2018,Ethnic GROCERY,grocery,-49.23
10/13/2018,CROSSROADS CAFE,restaurants,-3.69
10/12/2018,WALMART,grocery,-54.22
10/10/2018,SAFEWAY,grocery,-7.46
10/08/2018,AMZN,shopping,-26.27
10/07/2018,WALMART,grocery,-17.11
10/07/2018,UBER   TRIP,transportation,-1
10/07/2018,UBER   TRIP,transportation,-19.9
10/06/2018,COMCAST CALIFORNIA,misc,-44.99
10/06/2018,LYFT   *RIDE SAT 8PM,transportation,-7.74
10/06/2018,LYFT   *RIDE SAT 7PM,transportation,-17.11
10/06/2018,LYFT   *RIDE SAT 2PM,transportation,-11.2
10/06/2018,ICE CREAM PARLOR,restaurants,-12.65
10/05/2018,SAFEWAY,grocery,-16.26
10/05/2018,HOTEL F&B,restaurants,-60
10/02/2018,INSURANCE,misc,-822.76
10/01/2018,Payment Received,CREDIT,1275.61
10/01/2018,LYFT   *RIDE MON 7AM,transportation,-20.2
10/01/2018,STARBUCKS,restaurants,-8.5
